id,set_id,worker_id,description,first,second,third,first_addr,second_addr,third_addr
30,8,7,Most representative picture of Penn,32,33,35,https://s3.amazonaws.com/popop-uploads/bcce04d26d1d436b8a2eceaeba2d597f.jpeg,https://s3.amazonaws.com/popop-uploads/f0d13a3076dc481ba50e9885b4fa995f.jpeg,https://s3.amazonaws.com/popop-uploads/12fd5179f6b44ba7920d07980e2c40a9.jpeg
31,24,7,Which school delivers the best quality of education?,92,91,90,https://s3.amazonaws.com/popop-uploads/3246a19e51034d948a09a8e7b181ed45.png,https://s3.amazonaws.com/popop-uploads/d26298a89866454aaff76def409410e5.png,https://s3.amazonaws.com/popop-uploads/3796c1f90c1d49c4981fbdc0d6887a3a.png
32,28,8,Which social media platforms are the most helpful for everyday life?,110,107,112,https://s3.amazonaws.com/popop-uploads/23d8dfe384d74f2c819966e3e0531a70.png,https://s3.amazonaws.com/popop-uploads/b60f6d4ba0a7478f89279e4eac2b7404.png,https://s3.amazonaws.com/popop-uploads/9b7d5566c86847aeaf8720021c7bb842.png
33,31,7,sort by how beautiful you think the photo is,128,130,125,https://s3.amazonaws.com/popop-uploads/87798c6d5fbd45a19148cd887f53392a.jpeg,https://s3.amazonaws.com/popop-uploads/909f879b78bb4e5b9573f457dbdb4d98.jpeg,https://s3.amazonaws.com/popop-uploads/c55f3033d4a34d489dbdecfa2fb2b7a0.jpeg
34,27,7,Which Harry Potter book is the best?,101,105,102,https://s3.amazonaws.com/popop-uploads/8019d81d0ad843a2b73cb1d627504007.jpeg,https://s3.amazonaws.com/popop-uploads/3c8239f966de4c7c84241a271f9a04f3.jpeg,https://s3.amazonaws.com/popop-uploads/748ecddaeec54a6f8f9b9034b7b2bd81.jpeg
35,20,7,Who is your favorite Friends character?,80,78,79,https://s3.amazonaws.com/popop-uploads/b4586f8486674de7a17e10e4dc315480.jpeg,https://s3.amazonaws.com/popop-uploads/969cc88f92874cc7a2d79a2a5d97dcee.jpeg,https://s3.amazonaws.com/popop-uploads/d7038848d0214f169e17288a3c403a80.jpeg
36,27,8,Which Harry Potter book is the best?,100,99,104,https://s3.amazonaws.com/popop-uploads/4e6fab97e7104c9aadbae745f822dae1.jpeg,https://s3.amazonaws.com/popop-uploads/99a1f6cb24394bb2a33cc89045e6829f.jpeg,https://s3.amazonaws.com/popop-uploads/9e42a66b022f4df19a4844637d845e51.jpeg
37,17,7,What is Jennifer Aniston's best look?,71,70,69,https://s3.amazonaws.com/popop-uploads/81ba4a8173a84691b707e0d3ae7eb02e.jpeg,https://s3.amazonaws.com/popop-uploads/a2268db5692d45a7aee660361dfa9e5b.jpeg,https://s3.amazonaws.com/popop-uploads/468e62d721ba482ea1cfacc394aaaf3b.jpeg
38,28,8,Which social media platforms are the most helpful for everyday life?,110,106,112,https://s3.amazonaws.com/popop-uploads/23d8dfe384d74f2c819966e3e0531a70.png,https://s3.amazonaws.com/popop-uploads/9cbb78076835447ab8fdac769787591c.png,https://s3.amazonaws.com/popop-uploads/9b7d5566c86847aeaf8720021c7bb842.png
39,7,7,Best CIS professor,29,31,28,https://s3.amazonaws.com/popop-uploads/64d8de8847d94bcba772be00ec289bb1.jpeg,https://s3.amazonaws.com/popop-uploads/daa1d8896ef64e108ff803e7fbe20df4.jpeg,https://s3.amazonaws.com/popop-uploads/c874f53c87f94ee9872052dfb0738481.jpeg
40,3,7,Which pupper is cutest?,10,14,13,https://s3.amazonaws.com/popop-uploads/91621a0d05b449fcaa56cad5e4e2030e.jpeg,https://s3.amazonaws.com/popop-uploads/d15aa18da0b8457e81f6d6fbbed18a50.jpeg,https://s3.amazonaws.com/popop-uploads/2dd641adbb93451b8d4c243ef309fd3e.jpeg
41,33,7,which is a better background ,138,137,139,https://s3.amazonaws.com/popop-uploads/b0c5ff092eb549948777fde16cdce215.jpeg,https://s3.amazonaws.com/popop-uploads/4ddd38abf1084b3080e27476d2c728d6.jpeg,https://s3.amazonaws.com/popop-uploads/e3cc2ea07af34badab212157660d6c6d.jpeg
42,6,7,Cutest dog,24,25,26,https://s3.amazonaws.com/popop-uploads/88dd5a1d37944c5788d39148cc182794.jpeg,https://s3.amazonaws.com/popop-uploads/4f78d286588d4a2f8e48c54bfd03f4bd.jpeg,https://s3.amazonaws.com/popop-uploads/d816f5491e934c65bc4dfd691945c1b1.jpeg
43,13,7,Which is the prettiest button?,57,58,55,https://s3.amazonaws.com/popop-uploads/53f0ebcf4e714ff0bf571befa306d7e2.png,https://s3.amazonaws.com/popop-uploads/c12e32d6e97f4dea9bb76f78ad0e25ef.png,https://s3.amazonaws.com/popop-uploads/82860648637f4975a6e0c3fc3072d998.png
44,18,7,What is the prettiest sunset?,72,74,73,https://s3.amazonaws.com/popop-uploads/3cbaaf0500e942f7a0b6239097e84b84.jpeg,https://s3.amazonaws.com/popop-uploads/51e5fdd893854fba9076201e15923b6d.jpeg,https://s3.amazonaws.com/popop-uploads/8601c46a463b45f8ad19d59083859875.jpeg
45,36,9,accuracy,151,150,152,https://s3.amazonaws.com/popop-uploads/2368f574572948f78851d9bbac86b464.png,https://s3.amazonaws.com/popop-uploads/7abf41519e1e428fb2ca13f9e1535d0d.png,https://s3.amazonaws.com/popop-uploads/d148d74c0888422889af8f64b102a7f3.png
46,33,4,which is a better background ,139,138,137,https://s3.amazonaws.com/popop-uploads/e3cc2ea07af34badab212157660d6c6d.jpeg,https://s3.amazonaws.com/popop-uploads/b0c5ff092eb549948777fde16cdce215.jpeg,https://s3.amazonaws.com/popop-uploads/4ddd38abf1084b3080e27476d2c728d6.jpeg
47,27,9,Which Harry Potter book is the best?,102,101,104,https://s3.amazonaws.com/popop-uploads/748ecddaeec54a6f8f9b9034b7b2bd81.jpeg,https://s3.amazonaws.com/popop-uploads/8019d81d0ad843a2b73cb1d627504007.jpeg,https://s3.amazonaws.com/popop-uploads/9e42a66b022f4df19a4844637d845e51.jpeg
48,31,4,sort by how beautiful you think the photo is,125,124,126,https://s3.amazonaws.com/popop-uploads/c55f3033d4a34d489dbdecfa2fb2b7a0.jpeg,https://s3.amazonaws.com/popop-uploads/e80dc51df7e84fe5860e5a0372ce3374.jpeg,https://s3.amazonaws.com/popop-uploads/9352b4d0dfc547dd8426be29ed59bf1a.jpeg
49,18,9,What is the prettiest sunset?,74,72,73,https://s3.amazonaws.com/popop-uploads/51e5fdd893854fba9076201e15923b6d.jpeg,https://s3.amazonaws.com/popop-uploads/3cbaaf0500e942f7a0b6239097e84b84.jpeg,https://s3.amazonaws.com/popop-uploads/8601c46a463b45f8ad19d59083859875.jpeg
50,5,10,best art,20,19,21,https://s3.amazonaws.com/popop-uploads/2b61b13192064ab1bcfbf716c0c08737.jpeg,https://s3.amazonaws.com/popop-uploads/04e96ff64e9247178f3472f47bc9ee33.jpeg,https://s3.amazonaws.com/popop-uploads/9dd63d6af0de4b9dbf3e01677bf5c0c1.jpeg
51,9,9,Most enjoy spending time with students from which school?,38,40,39,https://s3.amazonaws.com/popop-uploads/a40e76220c6b4d5d96930971e2c1bb01.png,https://s3.amazonaws.com/popop-uploads/28875a3b952b445fbd8e76c33e0027b8.png,https://s3.amazonaws.com/popop-uploads/92397893f7cc4fa295f2c9478d8fb53d.jpeg
52,31,10,sort by how beautiful you think the photo is,125,127,131,https://s3.amazonaws.com/popop-uploads/c55f3033d4a34d489dbdecfa2fb2b7a0.jpeg,https://s3.amazonaws.com/popop-uploads/ce68ef3d90aa44c79f730e12d33b06e5.jpeg,https://s3.amazonaws.com/popop-uploads/55f5de3ffd8a42f994818a780f273dad.jpeg
